booking_id,customer_id,full_name,customer_country,booking_date,booking_day,booking_year,booking_month_number,booking_month,departure_date,departure_airport,arrival_airport,route,booking_amount,booking_status,payment_method,payment_status,failed_attempts,device_id,card_id,ip_country_code,card_country_code,days_before_departure,account_age_days,high_value_flag,last_minute_flag,country_mismatch_flag,failed_payment_flag,new_account_high_value_flag,shared_device_flag,shared_card_flag,fraud_risk_score,risk_level,recommended_action,fraud_confirmed,investigation_status
1,234,"Liam Clark",DE,"2025-01-17 12:52:04",2025-01-17,2025,1,2025-01,2025-01-28,LOS,ATH,"LOS - ATH",910.60,Confirmed,Amex,Successful,2,DEV-SHARED-049,CARD-000234-1,NG,DE,11,466,0,0,1,0,0,1,0,35,Medium,"Additional verification",0,Cleared
2,1699,"Ava Thomas",GB,"2026-04-28 18:10:07",2026-04-28,2026,4,2026-04,2026-08-18,AMS,MUC,"AMS - MUC",1396.92,Confirmed,Amex,Successful,0,DEV-001699,CARD-001699-2,GB,GB,112,658,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
3,551,"Maria Brown",GB,"2026-05-28 00:56:12",2026-05-28,2026,5,2026-05,2026-11-14,LAX,AMS,"LAX - AMS",938.83,Confirmed,Amex,Successful,0,DEV-000551,CARD-000551-2,GB,GB,170,786,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
4,1785,"Ethan Martin",ES,"2026-04-25 23:24:35",2026-04-25,2026,4,2026-04,2026-06-26,ORD,OTP,"ORD - OTP",1542.35,Confirmed,Visa,Successful,1,DEV-SHARED-092,CARD-001785-2,ES,DE,62,980,1,0,1,0,0,1,0,55,Medium,"Additional verification",0,Cleared
5,1395,"Sofia Lewis",NL,"2026-05-16 18:33:33",2026-05-16,2026,5,2026-05,2026-05-17,MAN,JFK,"MAN - JFK",274.46,Completed,Amex,Successful,0,DEV-001395,CARD-001395-2,NL,NL,1,80,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
6,460,"Lucas Taylor",US,"2026-03-16 03:51:51",2026-03-16,2026,3,2026-03,2026-08-13,OTP,FRA,"OTP - FRA",1118.82,Confirmed,Visa,Successful,0,DEV-000460,CARD-000460-2,US,US,150,596,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
7,742,"Noah Smith",AE,"2026-05-23 10:57:09",2026-05-23,2026,5,2026-05,2026-07-23,JFK,SKG,"JFK - SKG",668.54,Completed,Mastercard,Successful,0,DEV-000742,CARD-000742-1,NL,AE,61,562,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
8,1457,"Leo Smith",RO,"2025-12-31 22:49:48",2025-12-31,2025,12,2025-12,2026-02-04,ORY,LAX,"ORY - LAX",1261.58,Confirmed,PayPal,Successful,3,DEV-001457,CARD-001457-2,RO,NL,35,1093,0,0,1,1,0,0,0,30,Medium,"Additional verification",0,Cleared
9,978,"Lucas Taylor",AL,"2025-08-04 13:13:44",2025-08-04,2025,8,2025-08,2026-01-04,MUC,MXP,"MUC - MXP",1408.43,Confirmed,PayPal,Successful,3,DEV-000978,CARD-000978-2,AL,AL,153,104,0,0,0,1,0,0,0,15,Low,Allow,0,Cleared
10,1064,"Ethan Wilson",IT,"2026-01-25 01:32:09",2026-01-25,2026,1,2026-01,2026-07-04,CDG,DXB,"CDG - DXB",566.36,"Pending Review",Mastercard,Successful,0,DEV-001064,CARD-001064-2,IT,IT,160,108,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
11,1883,"Olivia Miller",FR,"2025-04-04 03:51:16",2025-04-04,2025,4,2025-04,2025-07-26,AMS,ORD,"AMS - ORD",194.13,Completed,PayPal,Successful,0,DEV-001883,CARD-001883-1,FR,FR,113,428,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
12,544,"Daniel Anderson",US,"2026-01-19 13:47:35",2026-01-19,2026,1,2026-01,2026-03-10,AUH,AGP,"AUH - AGP",473.83,Confirmed,PayPal,Successful,1,DEV-000544,CARD-SHARED-009,US,US,50,182,0,0,0,0,0,0,1,25,Low,Allow,0,Cleared
13,1632,"Amelia Clark",US,"2026-05-05 08:33:49",2026-05-05,2026,5,2026-05,2026-08-07,TIA,ORD,"TIA - ORD",492.15,Completed,PayPal,Successful,2,DEV-001632,CARD-001632-1,US,US,94,530,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
14,1604,"Ava Moore",NL,"2026-06-12 20:12:38",2026-06-12,2026,6,2026-06,2026-06-13,TIA,HER,"TIA - HER",523.88,Completed,Visa,Successful,0,DEV-001604,CARD-001604-2,NL,NL,1,158,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
15,742,"Noah Smith",AE,"2026-02-20 21:56:02",2026-02-20,2026,2,2026-02,2026-04-04,AMS,FCO,"AMS - FCO",635.21,Confirmed,Mastercard,Successful,0,DEV-000742,CARD-000742-1,US,AE,43,470,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
16,311,"Sofia Garcia",AL,"2025-03-16 05:18:19",2025-03-16,2025,3,2025-03,2025-06-27,SKG,VCE,"SKG - VCE",935.53,Confirmed,Mastercard,Successful,0,DEV-000311,CARD-SHARED-084,AL,DE,103,521,0,0,1,0,0,0,1,40,Medium,"Additional verification",0,Cleared
17,1998,"Olivia Brown",FR,"2025-11-22 16:00:32",2025-11-22,2025,11,2025-11,2026-01-23,OTP,ORY,"OTP - ORY",751.36,Confirmed,Amex,Failed,4,DEV-001998,CARD-SHARED-022,FR,FR,62,9,0,0,0,1,0,0,1,40,Medium,"Additional verification",0,Cleared
18,75,"Liam Wilson",NG,"2026-02-06 16:07:53",2026-02-06,2026,2,2026-02,2026-07-12,AMS,VCE,"AMS - VCE",77.96,Confirmed,Mastercard,Successful,0,DEV-000075,CARD-000075-2,NG,NG,156,249,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
19,869,"Noah Anderson",AL,"2026-02-01 14:54:31",2026-02-01,2026,2,2026-02,2026-06-18,JFK,LOS,"JFK - LOS",1140.31,Confirmed,Amex,Successful,0,DEV-000869,CARD-000869-2,AL,AL,137,384,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
20,308,"Daniel Anderson",IT,"2026-01-01 10:38:00",2026-01-01,2026,1,2026-01,2026-01-01,LOS,LGW,"LOS - LGW",338.19,Confirmed,PayPal,Successful,0,DEV-000308,CARD-SHARED-082,IT,NL,0,743,0,0,1,0,0,0,1,40,Medium,"Additional verification",0,Cleared
21,366,"Olivia Thomas",GR,"2025-07-24 05:30:44",2025-07-24,2025,7,2025-07,2025-08-28,NCE,FRA,"NCE - FRA",909.28,Confirmed,Amex,Successful,0,DEV-000366,CARD-000366-2,GR,GR,35,859,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
22,967,"Leo Thomas",FR,"2025-09-12 01:23:15",2025-09-12,2025,9,2025-09,2025-10-15,LOS,BER,"LOS - BER",631.95,Completed,PayPal,Failed,0,DEV-000967,CARD-SHARED-078,FR,FR,33,941,0,0,0,0,0,0,1,25,Low,Allow,0,Cleared
23,438,"Ethan Rossi",RO,"2026-04-25 05:13:57",2026-04-25,2026,4,2026-04,2026-06-15,LHR,LOS,"LHR - LOS",325.80,Cancelled,Amex,Successful,0,DEV-SHARED-040,CARD-000438-2,RO,RO,51,598,0,0,0,0,0,1,0,20,Low,Allow,0,Cleared
24,213,"Lucas Taylor",DE,"2026-05-11 16:59:51",2026-05-11,2026,5,2026-05,2026-10-17,MUC,NCE,"MUC - NCE",288.91,Confirmed,Amex,Successful,1,DEV-SHARED-057,CARD-000213-1,AL,DE,159,3,0,0,1,0,0,1,0,35,Medium,"Additional verification",0,Cleared
25,134,"Olivia Clark",AL,"2026-02-18 22:19:49",2026-02-18,2026,2,2026-02,2026-06-29,VCE,HER,"VCE - HER",1793.30,Confirmed,Mastercard,Successful,0,DEV-000134,CARD-000134-1,AL,AL,131,74,1,0,0,0,0,0,0,20,Low,Allow,0,Cleared
26,1531,"Olivia Miller",IT,"2025-04-14 02:21:22",2025-04-14,2025,4,2025-04,2025-07-23,TIA,ORD,"TIA - ORD",324.37,Completed,PayPal,Successful,0,DEV-001531,CARD-001531-2,DE,IT,100,679,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
27,1522,"Mia Anderson",ES,"2026-03-12 10:47:48",2026-03-12,2026,3,2026-03,2026-03-12,OTP,MAN,"OTP - MAN",738.33,Confirmed,Amex,Successful,3,DEV-001522,CARD-001522-2,ES,ES,0,104,0,0,0,1,0,0,0,15,Low,Allow,0,Cleared
28,1180,"Sofia Anderson",DE,"2026-06-11 22:12:00",2026-06-11,2026,6,2026-06,2026-10-13,OTP,HER,"OTP - HER",430.93,Confirmed,Mastercard,Successful,0,DEV-001180,CARD-001180-1,DE,DE,124,168,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
29,634,"Ethan Smith",AE,"2025-07-08 21:01:23",2025-07-08,2025,7,2025-07,2025-11-05,JFK,LGW,"JFK - LGW",728.18,Confirmed,PayPal,Successful,0,DEV-000634,CARD-000634-1,DE,FR,120,109,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
30,1517,"Mia Wilson",NG,"2026-07-07 22:28:42",2026-07-07,2026,7,2026-07,2026-07-09,MUC,TIA,"MUC - TIA",406.04,Confirmed,Amex,Successful,0,DEV-001517,CARD-001517-1,RO,NG,2,56,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
31,816,"Liam Taylor",AL,"2026-06-16 11:56:01",2026-06-16,2026,6,2026-06,2026-07-16,LOS,DXB,"LOS - DXB",188.09,Completed,PayPal,Successful,0,DEV-SHARED-041,CARD-000816-2,AL,AL,30,132,0,0,0,0,0,1,0,20,Low,Allow,0,Cleared
32,1259,"Liam Miller",NL,"2026-04-10 16:48:29",2026-04-10,2026,4,2026-04,2026-08-09,MUC,BCN,"MUC - BCN",243.70,Completed,Visa,Successful,0,DEV-001259,CARD-001259-2,NL,NL,121,176,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
33,563,"Lucas Clark",US,"2025-12-08 06:28:00",2025-12-08,2025,12,2025-12,2026-06-05,MXP,TIA,"MXP - TIA",1382.93,Completed,Visa,Successful,1,DEV-SHARED-042,CARD-000563-1,US,US,179,268,0,0,0,0,0,1,0,20,Low,Allow,0,Cleared
34,1105,"Leo Wilson",DE,"2025-07-09 07:52:26",2025-07-09,2025,7,2025-07,2025-07-24,FRA,LHR,"FRA - LHR",745.80,Cancelled,PayPal,Successful,0,DEV-001105,CARD-001105-2,DE,DE,15,471,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
35,710,"Amelia Lee",GR,"2025-12-12 03:54:02",2025-12-12,2025,12,2025-12,2026-04-21,AMS,LAX,"AMS - LAX",1067.05,Confirmed,Mastercard,Successful,0,DEV-000710,CARD-000710-2,NG,GR,130,1040,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
36,1944,"Isabella Rossi",IT,"2025-04-06 22:05:42",2025-04-06,2025,4,2025-04,2025-04-06,OTP,BER,"OTP - BER",228.09,Completed,PayPal,Successful,1,DEV-001944,CARD-001944-2,IT,IT,0,724,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
37,786,"Amelia Garcia",US,"2026-03-27 14:55:32",2026-03-27,2026,3,2026-03,2026-07-15,OTP,AUH,"OTP - AUH",979.44,Confirmed,PayPal,Successful,0,DEV-000786,CARD-000786-1,US,US,110,1053,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
38,1993,"Alex Moore",IT,"2025-12-25 09:14:07",2025-12-25,2025,12,2025-12,2026-01-25,HER,BER,"HER - BER",1267.32,Completed,Amex,Successful,1,DEV-001993,CARD-001993-2,ES,GB,31,842,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
39,1900,"Isabella Moore",RO,"2026-02-02 08:09:50",2026-02-02,2026,2,2026-02,2026-05-28,TIA,ORY,"TIA - ORY",247.28,Confirmed,Mastercard,Successful,0,DEV-SHARED-022,CARD-001900-2,RO,RO,115,572,0,0,0,0,0,1,0,20,Low,Allow,0,Cleared
40,54,"Ava Martin",DE,"2025-06-21 16:08:24",2025-06-21,2025,6,2025-06,2025-11-15,ATH,FRA,"ATH - FRA",486.15,Confirmed,Amex,Successful,0,DEV-000054,CARD-000054-1,DE,DE,147,690,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
41,1203,"Amelia Wilson",GB,"2026-07-07 15:38:11",2026-07-07,2026,7,2026-07,2026-10-13,NCE,AGP,"NCE - AGP",1393.37,Confirmed,PayPal,Successful,1,DEV-001203,CARD-001203-1,GB,GB,98,48,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
42,556,"Isabella Smith",US,"2026-03-06 17:58:12",2026-03-06,2026,3,2026-03,2026-07-24,AGP,LGW,"AGP - LGW",1456.75,Confirmed,Amex,Successful,5,DEV-000556,CARD-000556-1,US,US,140,683,0,0,0,1,0,0,0,15,Low,Allow,0,Cleared
43,171,"Ava Garcia",IT,"2026-01-05 17:57:02",2026-01-05,2026,1,2026-01,2026-01-07,MAN,LAX,"MAN - LAX",2517.10,"Pending Review",Amex,Successful,3,DEV-000171,CARD-FRAUD-026,ES,NL,2,915,1,1,1,1,0,0,1,90,Critical,"Block and investigate",1,"Confirmed Fraud"
44,194,"Isabella Rossi",GB,"2025-12-11 05:48:56",2025-12-11,2025,12,2025-12,2026-06-07,LOS,MAD,"LOS - MAD",331.01,Cancelled,Mastercard,Successful,0,DEV-000194,CARD-000194-2,RO,GB,178,789,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
45,725,"Ava Anderson",GR,"2025-09-02 22:29:15",2025-09-02,2025,9,2025-09,2025-12-22,ORY,AUH,"ORY - AUH",1159.89,Confirmed,Amex,Successful,4,DEV-000725,CARD-000725-2,AL,GR,111,702,0,0,1,1,0,0,0,30,Medium,"Additional verification",0,Cleared
46,1950,"Olivia Brown",ES,"2025-02-05 17:30:04",2025-02-05,2025,2,2025-02,2025-05-18,TIA,AGP,"TIA - AGP",1368.80,Confirmed,Mastercard,Successful,0,DEV-SHARED-082,CARD-001950-2,ES,ES,102,121,0,0,0,0,0,1,0,20,Low,Allow,0,Cleared
47,534,"Maria Smith",DE,"2026-06-01 09:09:48",2026-06-01,2026,6,2026-06,2026-08-17,LAX,AMS,"LAX - AMS",270.73,Completed,Visa,Successful,1,DEV-000534,CARD-000534-2,DE,DE,77,432,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
48,1870,"Sofia Wilson",NG,"2026-02-22 22:37:29",2026-02-22,2026,2,2026-02,2026-07-19,VCE,OTP,"VCE - OTP",115.85,Confirmed,PayPal,Refunded,0,DEV-001870,CARD-001870-1,NG,NG,147,198,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
49,1179,"Maria Rossi",AL,"2025-10-23 22:30:44",2025-10-23,2025,10,2025-10,2026-04-21,NCE,LOS,"NCE - LOS",1425.41,Confirmed,Mastercard,Successful,0,DEV-001179,CARD-SHARED-042,AL,AL,180,263,0,0,0,0,0,0,1,25,Low,Allow,0,Cleared
50,646,"Noah Lee",GB,"2025-06-28 17:26:48",2025-06-28,2025,6,2025-06,2025-08-21,LGW,AMS,"LGW - AMS",676.30,Completed,Visa,Successful,1,DEV-SHARED-049,CARD-SHARED-096,GR,NL,54,724,0,0,1,0,0,1,1,60,High,"Manual review",0,Cleared
51,1936,"Emma Martin",ES,"2025-12-21 22:14:07",2025-12-21,2025,12,2025-12,2025-12-22,LOS,DXB,"LOS - DXB",642.04,Confirmed,Mastercard,Successful,0,DEV-001936,CARD-001936-2,ES,ES,1,456,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
52,1918,"Ethan Miller",NG,"2026-02-05 09:41:57",2026-02-05,2026,2,2026-02,2026-07-29,LGW,ATH,"LGW - ATH",1326.20,Completed,PayPal,Successful,3,DEV-001918,CARD-001918-2,FR,NG,174,201,0,0,1,1,0,0,0,30,Medium,"Additional verification",0,Cleared
53,860,"Noah Anderson",AL,"2026-07-13 19:19:07",2026-07-13,2026,7,2026-07,2026-11-14,LAX,LOS,"LAX - LOS",663.14,Confirmed,Mastercard,Successful,0,DEV-SHARED-061,CARD-000860-2,AL,AL,124,0,0,0,0,0,0,1,0,20,Low,Allow,0,Cleared
54,579,"Olivia Martin",GR,"2026-04-23 16:42:08",2026-04-23,2026,4,2026-04,2026-06-22,HER,ORD,"HER - ORD",1113.21,Completed,Mastercard,Successful,0,DEV-000579,CARD-000579-2,GR,GR,60,604,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
55,1757,"Daniel Brown",GR,"2026-03-09 02:47:37",2026-03-09,2026,3,2026-03,2026-08-06,BER,SKG,"BER - SKG",1488.57,Confirmed,Amex,Successful,0,DEV-001757,CARD-001757-2,GR,GR,150,267,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
56,1925,"Alex Moore",ES,"2025-09-02 05:18:38",2025-09-02,2025,9,2025-09,2026-01-12,MAN,OTP,"MAN - OTP",1241.82,Confirmed,Mastercard,Successful,0,DEV-SHARED-094,CARD-001925-1,AE,ES,132,32,0,0,1,0,0,1,0,35,Medium,"Additional verification",0,Cleared
57,959,"James Wilson",FR,"2025-09-08 01:02:51",2025-09-08,2025,9,2025-09,2025-11-26,MAD,BER,"MAD - BER",1776.46,Confirmed,Visa,Successful,0,DEV-000959,CARD-SHARED-053,FR,FR,79,553,1,0,0,0,0,0,1,45,Medium,"Additional verification",0,Cleared
58,1074,"Mia Lewis",DE,"2025-07-22 16:49:48",2025-07-22,2025,7,2025-07,2025-12-25,LHR,TIA,"LHR - TIA",1013.74,Completed,Mastercard,Failed,0,DEV-SHARED-097,CARD-001074-2,DE,DE,156,79,0,0,0,0,0,1,0,20,Low,Allow,0,Cleared
59,1577,"James Wilson",FR,"2025-08-06 15:22:22",2025-08-06,2025,8,2025-08,2025-10-18,ATH,AUH,"ATH - AUH",984.94,Completed,Visa,Successful,0,DEV-SHARED-092,CARD-001577-1,FR,FR,73,555,0,0,0,0,0,1,0,20,Low,Allow,0,Cleared
60,1615,"Alex Miller",GB,"2025-12-08 22:45:47",2025-12-08,2025,12,2025-12,2026-05-06,FCO,ORD,"FCO - ORD",123.27,Confirmed,Amex,Failed,0,DEV-001615,CARD-001615-1,GB,GB,149,566,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
61,1671,"Isabella Brown",FR,"2026-07-12 04:13:51",2026-07-12,2026,7,2026-07,2026-08-06,ORY,LAX,"ORY - LAX",950.84,Completed,Mastercard,Successful,0,DEV-001671,CARD-001671-2,US,IT,25,4,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
62,1225,"Amelia Taylor",IT,"2026-05-31 02:45:39",2026-05-31,2026,5,2026-05,2026-08-09,JFK,CDG,"JFK - CDG",1874.18,Completed,Mastercard,Refunded,0,DEV-001225,CARD-001225-2,IT,IT,70,550,1,0,0,0,0,0,0,20,Low,Allow,0,Cleared
63,394,"Ava Anderson",NL,"2026-04-10 01:34:01",2026-04-10,2026,4,2026-04,2026-08-23,CDG,HER,"CDG - HER",966.35,Confirmed,Mastercard,Successful,2,DEV-000394,CARD-000394-2,NL,NL,135,80,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
64,459,"Ethan Wilson",RO,"2025-12-28 09:34:04",2025-12-28,2025,12,2025-12,2026-01-13,FCO,AUH,"FCO - AUH",695.72,Confirmed,PayPal,Successful,0,DEV-000459,CARD-SHARED-045,RO,AL,16,496,0,0,1,0,0,0,1,40,Medium,"Additional verification",0,Cleared
65,834,"Noah Lee",RO,"2025-10-15 00:41:57",2025-10-15,2025,10,2025-10,2026-04-10,DXB,CDG,"DXB - CDG",1302.85,Confirmed,Visa,Successful,0,DEV-000834,CARD-SHARED-009,RO,RO,177,112,0,0,0,0,0,0,1,25,Low,Allow,0,Cleared
66,704,"Olivia Anderson",ES,"2025-05-23 03:10:24",2025-05-23,2025,5,2025-05,2025-05-24,AMS,BER,"AMS - BER",684.99,Confirmed,Visa,Successful,0,DEV-000704,CARD-000704-1,ES,ES,1,165,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
67,1154,"Isabella Lewis",FR,"2025-10-19 03:26:59",2025-10-19,2025,10,2025-10,2025-12-05,BCN,OTP,"BCN - OTP",957.23,Cancelled,Amex,Successful,0,DEV-001154,CARD-001154-1,FR,FR,47,613,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
68,1885,"Alex Martin",IT,"2025-09-20 01:31:48",2025-09-20,2025,9,2025-09,2026-03-10,ORD,MAN,"ORD - MAN",625.66,Confirmed,PayPal,Successful,0,DEV-001885,CARD-001885-2,IT,IT,171,946,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
69,1020,"Leo Martin",RO,"2025-08-12 01:40:58",2025-08-12,2025,8,2025-08,2025-08-29,MUC,TIA,"MUC - TIA",129.49,Confirmed,Visa,Successful,0,DEV-001020,CARD-001020-1,RO,RO,17,713,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
70,1170,"Alex Lewis",US,"2025-04-22 02:40:09",2025-04-22,2025,4,2025-04,2025-04-23,AGP,NCE,"AGP - NCE",1055.14,Cancelled,PayPal,Successful,0,DEV-001170,CARD-001170-2,GR,US,1,12,0,1,1,0,0,0,0,30,Medium,"Additional verification",0,Cleared
71,810,"Sofia Taylor",AL,"2025-02-02 11:11:46",2025-02-02,2025,2,2025-02,2025-05-30,AUH,SKG,"AUH - SKG",2258.45,Cancelled,PayPal,Successful,3,DEV-000810,CARD-000810-2,NL,RO,117,489,1,0,1,1,0,0,0,50,Medium,"Additional verification",0,Cleared
72,378,"Ava Lee",US,"2025-03-06 22:33:59",2025-03-06,2025,3,2025-03,2025-03-26,LGW,CDG,"LGW - CDG",949.29,Completed,PayPal,Successful,0,DEV-000378,CARD-000378-1,US,RO,20,555,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
73,590,"Liam Lewis",DE,"2026-05-09 06:14:50",2026-05-09,2026,5,2026-05,2026-09-29,LOS,CDG,"LOS - CDG",151.04,Confirmed,Visa,Successful,0,DEV-000590,CARD-000590-2,DE,DE,143,216,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
74,1329,"Noah Rossi",GB,"2026-01-06 01:15:57",2026-01-06,2026,1,2026-01,2026-06-23,TIA,OTP,"TIA - OTP",1049.74,Confirmed,Amex,Successful,1,DEV-001329,CARD-001329-2,NL,GB,168,906,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
75,832,"Sofia Thomas",DE,"2025-11-24 02:37:50",2025-11-24,2025,11,2025-11,2025-12-26,TIA,OTP,"TIA - OTP",2254.62,"Pending Review",PayPal,Successful,5,DEV-FRAUD-014,CARD-000832-1,AE,RO,32,910,1,0,1,1,0,1,0,70,High,"Manual review",1,"Confirmed Fraud"
76,560,"Isabella Lee",AE,"2026-07-14 15:51:57",2026-07-14,2026,7,2026-07,2026-08-25,OTP,AMS,"OTP - AMS",891.77,Confirmed,Amex,Failed,0,DEV-000560,CARD-000560-2,AE,AE,42,528,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
77,1962,"Olivia Moore",FR,"2025-11-13 10:49:43",2025-11-13,2025,11,2025-11,2025-12-02,AGP,TIA,"AGP - TIA",1369.31,Confirmed,Visa,Successful,0,DEV-001962,CARD-SHARED-072,FR,FR,19,165,0,0,0,0,0,0,1,25,Low,Allow,0,Cleared
78,969,"Mia Martin",NG,"2025-10-22 15:57:53",2025-10-22,2025,10,2025-10,2025-10-30,JFK,VCE,"JFK - VCE",1481.53,Cancelled,Amex,Refunded,0,DEV-SHARED-063,CARD-000969-2,NG,NG,8,305,0,0,0,0,0,1,0,20,Low,Allow,0,Cleared
79,347,"Olivia Lee",ES,"2025-10-11 16:07:09",2025-10-11,2025,10,2025-10,2025-12-02,BER,DXB,"BER - DXB",1473.33,"Pending Review",Visa,Successful,0,DEV-000347,CARD-000347-2,ES,AE,52,909,0,0,1,0,0,0,0,15,Low,Allow,0,Cleared
80,1132,"Maria Garcia",ES,"2025-05-30 19:58:50",2025-05-30,2025,5,2025-05,2025-08-09,FCO,CDG,"FCO - CDG",1994.86,Completed,Visa,Successful,0,DEV-001132,CARD-SHARED-017,ES,ES,71,613,1,0,0,0,0,0,1,45,Medium,"Additional verification",0,Cleared
81,116,"Olivia Clark",US,"2026-05-09 11:07:53",2026-05-09,2026,5,2026-05,2026-06-01,TIA,LOS,"TIA - LOS",1096.39,Confirmed,Visa,Successful,4,DEV-SHARED-011,CARD-000116-1,US,US,23,273,0,0,0,1,0,1,0,35,Medium,"Additional verification",0,Cleared
82,1738,"Liam Brown",RO,"2026-01-27 15:25:54",2026-01-27,2026,1,2026-01,2026-03-29,LOS,FRA,"LOS - FRA",977.84,Confirmed,PayPal,Successful,0,DEV-001738,CARD-001738-1,RO,RO,61,249,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
83,1490,"Isabella Rossi",NL,"2025-09-05 19:47:01",2025-09-05,2025,9,2025-09,2025-09-07,SKG,AMS,"SKG - AMS",2129.75,"Pending Review",Mastercard,Successful,6,DEV-FRAUD-023,CARD-FRAUD-015,FR,ES,2,770,1,1,1,1,0,1,1,110,Critical,"Block and investigate",1,"Confirmed Fraud"
84,1019,"Olivia Lee",GB,"2025-11-01 15:43:57",2025-11-01,2025,11,2025-11,2026-03-24,JFK,AMS,"JFK - AMS",341.43,"Pending Review",Visa,Successful,0,DEV-001019,CARD-001019-2,GB,GB,143,441,0,0,0,0,0,0,0,0,Low,Allow,0,Cleared
85,1653,"Ethan Moore",GB,"2026-06-19 18:50:25",2026-06-19,2026,6,2026-06,2026-09-24,TIA,BER,"TIA - BER",746.66,Completed,Mastercard,Successful,4,DEV-001653,CARD-001653-2,GB,GB,97,1262,0,0,0,1,0,0,0,15,Low,Allow,0,Cleared
86,948,"Lucas Rossi",NL,"2026-04-23 00:38:13",2026-04-23,2026,4,2026-04,2026-07-03,OTP,TIA,"OTP - TIA",1928.53,Completed,Visa,Successful,0,DEV-000948,CARD-000948-1,NL,NL,71,234,1,0,0,0,0,0,0,20,Low,Allow,0,Cleared
87,1435,"Alex Clark",NG,"2025-01-09 11:27:07",2025-01-09,2025,1,2025-01,2025-03-05,LAX,MXP,"LAX - MXP",1527.81,Confirmed,Mastercard,Successful,0,DEV-001435,CARD-001435-2,AL,NG,55,456,1,0,1,0,0,0,0,35,Medium,"Additional verification",0,Cleared
88,1324,"Alex Taylor",DE,"2025-09-09 13:38:22",2025-09-09,2025,9,2025-09,2025-12-04,AGP,FCO,"AGP - FCO",1156.80,Confirmed,PayPal,Successful,0,DEV-SHARED-092,CARD-001324-2,DE,RO,86,559,0,0,1,0,0,1,0,35,Medium,"Additional verification",0,Cleared
89,1123,"Lucas Rossi",NG,"2026-06-14 13:28:48",2026-06-14,2026,6,2026-06,2026-06-14,NCE,BCN,"NCE - BCN",234.69,Confirmed,Amex,Successful,0,DEV-SHARED-083,CARD-001123-1,AE,NG,0,319,0,0,1,0,0,1,0,35,Medium,"Additional verification",0,Cleared
